Transaction ID,Plan,Amount
806860,Monthly, $44.99 
806817,Monthly, $44.99 
806744,Monthly, $44.99 
806584,Monthly, $44.99 
806579,Monthly, $34.99 
806488,Semi Annual, $239.94 
806436,Monthly, $44.99 
806391,Monthly, $34.99 
806070,Monthly, $44.99 
806067,Quarterly, $104.97 
806058,Monthly, $44.99 
806019,Monthly, $44.99 
805921,Monthly, $44.99 
805901,Monthly, $44.99 
805907,Quarterly, $104.97 
805770,Monthly, $44.99 
805602,Monthly, $44.99 
805495,Annual, $439.89 
805450,Monthly, $34.99 
805439,Monthly, $44.99 
805434,Monthly, $44.99 
805423,Monthly, $44.99 
805367,Monthly, $44.99 
805287,Semi Annual, $239.94 
805274,Monthly, $34.99 
805089,Monthly, $34.99 
805072,Quarterly, $104.97 
805060,Monthly, $34.99 
806357,Monthly, $34.99 
805030,Annual, $439.89 
805001,Monthly, $44.99 
804996,Semi Annual, $239.94 
804625,Annual, $329.89 
804824,Quarterly, $134.97 
805915,Monthly, $44.99 
804502,Quarterly, $134.97 
804517,Monthly, $44.99 
804483,Monthly, $34.99 
804468,Semi Annual, $179.94 
805607,Semi Annual, $179.94 
804334,Monthly, $44.99 
804825,Monthly, $44.99 
804256,Quarterly, $134.97 
804828,Monthly, $44.99 
804240,Monthly, $44.99 
804837,Annual, $329.89 
804475,Monthly, $44.99 
805159,Monthly, $44.99 
804839,Monthly, $44.99 
802746,Monthly, $44.99 
802714,Monthly, $44.99 
805160,Monthly, $44.99 
802576,Monthly, $44.99 
804843,Monthly, $44.99 
804845,Monthly, $44.99 
802496,Monthly, $44.99 
804863,Annual, $329.89 
802278,Semi Annual, $234.99 
804870,Monthly, $44.99 
794359,Monthly, $44.99 
802228,Monthly, $44.99 
804873,Monthly, $44.99 
802182,Semi Annual, $234.99 
804876,Semi Annual, $179.94 
805162,Monthly, $34.99 
801987,Monthly, $44.99 
801927,Quarterly, $134.97 
804898,Monthly, $44.99 
804904,Monthly, $44.99 
801866,Quarterly, $134.97 
804910,Monthly, $44.99 
804912,Monthly, $44.99 
805597,Monthly, $44.99 
801627,Annual, $439.89 
801598,Quarterly, $104.97 
801594,Monthly, $44.99 
804918,Monthly, $44.99 
801570,Quarterly, $134.97 
801238,Monthly, $34.99 
801228,Annual, $329.89 
801212,Monthly,$44.99 
781008,Monthly,$44.99 
804704,Monthly, $44.99 
801193,Monthly, $44.99 
801143,Monthly, $34.99 
801110,Annual, $329.89 
805576,Annual, $329.89 
800918,Annual, $439.89 
805587,Monthly, $44.99 
804697,Monthly, $44.99 
804960,Annual, $439.89 
802696,Annual, $439.89 
801590,Monthly, $44.99 
800614,Annual, $439.89 
800558,Monthly, $44.99 
800547,Monthly, $44.99 
800490,Quarterly, $134.97 
800271,Monthly, $44.99 
800264,Semi Annual, $179.94 
800254,Semi Annual, $239.94 
800324,Monthly, $34.99 
804632,Monthly, $44.99 
800327,Monthly, $44.99 
799938,Semi Annual, $239.94 
799976,Annual, $329.89 
800000,Monthly, $44.99 
